BIC,adj_mutual_info,adj_rand,algorithm,avg_inertia,clusterer,completeness,homogeneity,k,lower_bound,n,silhouette,time,v_measure,with_labels_mean,with_labels_sd,without_labels_mean,without_labels_sd
81241.23753,0.066849456,0.075705143,svd,,em,0.067078503,0.183741174,5,-7.440429429,5,0.185607431,3.232038193,0.098278436,0.816666424,0.003187868,0.822036692,0.001191814
76067.75068,0.049832156,0.002433594,svd,,em,0.050198327,0.197191769,10,-6.877459625,5,0.120658232,4.022578528,0.080025006,0.818147493,0.00146672,0.817036691,0.003872921
74966.09364,0.056244193,0.021972857,svd,,em,0.056721443,0.264427249,15,-6.692185049,5,0.242774042,3.673961075,0.093406546,0.818886279,0.005872496,0.816480209,0.005263571
73173.9804,0.050245293,0.01368118,svd,,em,0.05084783,0.256889384,20,-6.442674193,5,0.2099104,4.527272827,0.08489235,0.819629078,0.003988062,0.817406135,0.003838392
71178.92847,0.047531053,0.009231318,svd,,em,0.048217022,0.271089727,25,-6.17449889,5,0.151882898,4.997880113,0.081871989,0.82240521,0.004887924,0.812220743,0.003260443
70284.73147,0.045352393,0.01054754,svd,,em,0.046154149,0.269431138,30,-6.007591412,5,0.152470553,4.461678762,0.078808268,0.814627945,0.006210454,0.819443686,0.005373876
70716.0804,0.045279437,0.008488092,svd,,em,0.046252215,0.299488226,40,-5.880872967,5,0.105829335,5.454431838,0.080129439,0.816665909,0.004631969,0.81796272,0.002929941
71252.27428,0.043098776,0.005906783,svd,,em,0.044264567,0.302015488,50,-5.763543182,5,0.110733787,6.273293543,0.07721256,0.812591114,0.003302414,0.817219201,0.006945047
72682.25981,0.038627066,0.003676711,svd,,em,0.040687305,0.324292256,100,-5.060577614,5,0.118904814,15.25734402,0.072303106,0.809443583,0.007320936,0.814443274,0.006433746
169870.8361,0.131431434,0.211065963,svd,,em,0.131552562,0.158444472,2,-15.62453732,10,0.194543729,6.018055208,0.143751651,0.825001609,0.007216402,0.829998833,0.003237207
148496.6199,0.065737714,0.043372935,svd,,em,0.065978426,0.172179902,5,-13.48818803,10,0.144289727,5.035548243,0.095400056,0.830182989,0.008463646,0.827403873,0.008847532
132038.911,0.058121341,0.057729402,svd,,em,0.058484873,0.229456937,10,-11.70205027,10,0.137480435,5.071537681,0.093211609,0.825184223,0.003684499,0.825367865,0.005676465
120575.7039,0.052535121,0.026236367,svd,,em,0.053001983,0.253491489,15,-10.37777178,10,0.072194522,9.019174568,0.087672677,0.819439879,0.012769485,0.826665087,0.00555044
117740.0241,0.04934915,0.018000466,svd,,em,0.049924929,0.263853739,20,-9.85278491,10,0.110163523,6.232446677,0.083962873,0.825739675,0.008452545,0.825923215,0.006118489
111828.5559,0.046659054,0.014054353,svd,,em,0.047336854,0.269446185,25,-9.042503646,10,0.09693383,6.865771079,0.080526626,0.828886693,0.00498265,0.822219407,0.006788063
109933.5688,0.045841923,0.012805411,svd,,em,0.046629852,0.276594007,30,-8.604740261,10,0.090985682,6.12068713,0.079805604,0.824442967,0.006392516,0.828701816,0.004362203
100298.507,0.044369936,0.010136307,svd,,em,0.045337552,0.295350578,40,-7.187855113,10,0.063440111,9.088051915,0.078608387,0.828516734,0.005469164,0.829257783,0.004902911
102613.0019,0.044710447,0.009511923,svd,,em,0.045882673,0.31140924,50,-6.876682203,10,0.080733306,8.689969545,0.079981034,0.831666117,0.004488271,0.823701095,0.006618488
95938.40768,0.037345941,0.003763928,svd,,em,0.039369976,0.318252311,100,-3.633230392,10,0.106775511,16.2996439,0.070071617,0.828145334,0.011397899,0.823517042,0.003420362
328541.8801,0.009263499,-0.041106686,svd,,em,0.023389593,0.009430233,2,-30.05370139,20,0.207276383,4.0503355,0.013441224,0.829814163,0.002986938,0.835553978,0.003499038
283283.721,0.085115046,0.07347411,svd,,em,0.08534092,0.232429084,5,-25.31199787,20,0.096041841,4.929212783,0.124843199,0.825736281,0.009873698,0.829629287,0.004903401
234674.8817,0.057750885,0.0112595,svd,,em,0.05812161,0.223698585,10,-19.89224786,20,0.088548812,6.848768958,0.092269626,0.830365603,0.010592055,0.834442866,0.006180108
171172.2968,0.046460738,0.024513531,svd,,em,0.046928746,0.225308421,15,-13.09353444,20,0.042138377,9.336591293,0.077678164,0.826667249,0.00268393,0.830553154,0.005307675
139767.5993,0.048822416,0.019397696,svd,,em,0.049403115,0.259131758,20,-9.26610139,20,0.056266959,6.530356602,0.082985213,0.83018299,0.005129536,0.836478979,0.005812955
104754.5548,0.040083136,0.009746625,svd,,em,0.040766229,0.23183771,25,-5.106131649,20,0.089578109,7.662699063,0.069339784,0.830000274,0.00205512,0.829999759,0.003187531
107082.0213,0.043162167,0.017043322,svd,,em,0.043953151,0.260566398,30,-4.401323449,20,0.090316742,8.46863705,0.075218253,0.829443483,0.002154968,0.830553464,0.008440232
87938.00867,0.040101646,0.008972191,svd,,em,0.041077772,0.266468601,40,-0.790787068,20,0.099182802,6.776728811,0.071182347,0.830368895,0.003262571,0.830925274,0.001778182
57801.92806,0.042247579,0.009737373,svd,,em,0.04340682,0.298003851,50,3.838059178,20,0.099495598,9.970469738,0.075776188,0.827405931,0.003735511,0.831850068,0.004519614
71965.40034,0.036952084,0.003748144,svd,,em,0.0389876,0.314300382,100,11.71612136,20,0.117646072,11.61367158,0.069370136,0.820367246,0.010254787,0.827406034,0.003758362
459584.5827,0.132121231,0.209133851,svd,,em,0.132241877,0.1597847,2,-41.76553486,30,0.086420378,7.553576937,0.144714422,0.838331037,0.005300308,0.841295852,0.002078923
274176.2972,0.075147695,0.053822291,svd,,em,0.075378917,0.202726729,5,-23.41399347,30,0.060106722,7.946642717,0.109895801,0.833330932,0.006366351,0.83796046,0.00648464
187753.5652,0.045816132,0.027631733,svd,,em,0.04619649,0.175532083,10,-13.43844168,30,0.100508122,7.618815485,0.073143177,0.838884329,0.01053421,0.836109328,0.004797985
117547.8974,0.046954436,0.025359403,svd,,em,0.047441495,0.219247805,15,-4.964463531,30,0.135878195,6.564323944,0.078004206,0.832033504,0.007897701,0.834255624,0.00819323
14934.53621,0.037391047,0.022871962,svd,,em,0.038002755,0.192061029,20,6.510266629,30,0.142004491,7.154399225,0.063450649,0.836849247,0.005990009,0.837406654,0.002199553
-106655.5716,0.039320741,0.009031467,svd,,em,0.040026859,0.220531491,25,19.74171914,30,0.143889328,7.62684966,0.067755901,0.828700376,0.007630082,0.839256654,0.006612357
-127986.7345,0.035071447,0.007585523,svd,,em,0.03587245,0.211711046,30,23.68728963,30,0.106500227,7.87987169,0.061349759,0.837036695,0.000765699,0.840551818,0.009907475
-195275.1886,0.03911132,0.014536318,svd,,em,0.040115685,0.254573365,40,33.86528119,30,0.123403236,7.195945292,0.069309564,0.833517764,0.001787774,0.83684976,0.007381278
-222925.3621,0.035620793,0.006784582,svd,,em,0.03679563,0.251136812,50,40.37516229,30,0.116133018,8.560768341,0.064186843,0.835366324,0.009503772,0.840922189,0.00901843
-244676.5046,0.037717903,0.004210892,svd,,em,0.039748693,0.320894066,100,62.12360578,30,0.141727974,12.83097864,0.070735483,0.812023313,0.03312874,0.838884741,0.009178454
,0.135889855,0.190920216,svd,3.700237296,kmeans,0.136007622,0.167618421,2,,2,0.487252598,2.835111767,0.150167506,0.804814878,0.003015012,0.807037512,0.003189019
,0.091305222,0.069657469,svd,1.295753325,kmeans,0.091515625,0.26565287,5,,2,0.444568607,2.848099548,0.136134003,0.80999883,0.006431522,0.808517451,0.005035256
,0.071186676,0.042310599,svd,0.601691029,kmeans,0.071529081,0.293679703,10,,2,0.402641415,3.270696422,0.115039068,0.813517658,0.004128008,0.809628768,0.005570914
,0.061425099,0.023147463,svd,0.409600146,kmeans,0.06188654,0.296647253,15,,2,0.372735748,3.176889033,0.102408601,0.792973928,0.024759818,0.807776093,0.006635501
,0.057678341,0.016508387,svd,0.311516752,kmeans,0.05825187,0.306428444,20,,2,0.37350481,3.707569285,0.097894124,0.811295847,0.006880546,0.812407781,0.006079871
,0.054244221,0.013179495,svd,0.25568592,kmeans,0.05491576,0.313002282,25,,2,0.30297387,3.092505785,0.093437974,0.803883705,0.011668223,0.806109837,0.004828233
,0.051653145,0.013824496,svd,0.213266055,kmeans,0.052418425,0.317870365,30,,2,0.304551735,4.788397147,0.089996047,0.803513437,0.011203237,0.802965289,0.005209
,0.047683351,0.009279066,svd,0.160318395,kmeans,0.048636253,0.320396279,40,,2,0.309873011,3.987446588,0.084452579,0.809444303,0.005900677,0.803150474,0.005207925
,0.045387238,0.007440107,svd,0.129517631,kmeans,0.046526893,0.323441044,50,,2,0.305749135,3.850263682,0.081351411,0.808330826,0.008369307,0.812777843,0.00667983
,0.039056978,0.003754477,svd,0.062459333,kmeans,0.041061665,0.334609602,100,,2,0.30590219,5.205282596,0.073147076,0.81055274,0.009116219,0.80482105,0.013747088
,0.134635231,0.191508747,svd,6.101092571,kmeans,0.134753331,0.165844498,2,,3,0.365928618,3.416332661,0.148691017,0.818332371,0.004123136,0.815740291,0.004306427
,0.0889518,0.10232917,svd,2.37200817,kmeans,0.089177031,0.24253114,5,,3,0.395796787,2.288625148,0.13040503,0.819443173,0.002911081,0.822406754,0.002542301
,0.071255458,0.040377925,svd,1.311034622,kmeans,0.071609259,0.284769858,10,,3,0.313118018,3.735055124,0.114440817,0.812779693,0.007248141,0.815369921,0.001121175
,0.060134721,0.022341016,svd,0.922564678,kmeans,0.060606543,0.284623812,15,,3,0.395875814,3.901030718,0.099933654,0.817032575,0.010146936,0.819443378,0.002478288
,0.057984802,0.025007584,svd,0.734316873,kmeans,0.058569478,0.302341079,20,,3,0.31301776,3.180709955,0.09812935,0.819443893,0.001693872,0.819443378,0.002827743
,0.054876088,0.017333321,svd,0.608145038,kmeans,0.055563249,0.309496525,25,,3,0.323589535,3.301164738,0.094212694,0.817960045,0.006438601,0.816108912,0.00649511
,0.052649521,0.014583081,svd,0.5300575,kmeans,0.053426346,0.318983276,30,,3,0.31473147,4.070593612,0.091523473,0.813888646,0.007091164,0.81537095,0.001380007
,0.04868861,0.010582967,svd,0.431477084,kmeans,0.049665857,0.319375548,40,,3,0.292284526,4.229763364,0.085963581,0.820183914,0.003498585,0.817221362,0.001897347
,0.047298799,0.008562813,svd,0.362140012,kmeans,0.048463622,0.329754304,50,,3,0.285315982,4.182265299,0.084507301,0.815922184,0.008738806,0.817407679,0.002559103
,0.041514887,0.004390931,svd,0.217824521,kmeans,0.043537789,0.351201206,100,,3,0.22866082,5.098035397,0.077471566,0.817035971,0.002365415,0.814071978,0.005312497
,0.133507328,0.191286486,svd,8.325217185,kmeans,0.133625672,0.16433287,2,,4,0.348869292,3.359443841,0.14739695,0.813145126,0.006725438,0.818148007,0.003288419
,0.084605552,0.074246935,svd,3.892886575,kmeans,0.084829363,0.233273006,5,,4,0.370991031,4.520409068,0.124415298,0.818331754,0.00684379,0.815741629,0.002063846
,0.066538944,0.031293647,svd,2.346420212,kmeans,0.066883184,0.274496766,10,,4,0.313303482,3.857233698,0.107558852,0.820924448,0.007549709,0.819072802,0.002993667
,0.059912786,0.020511543,svd,1.705935839,kmeans,0.060389278,0.280983302,15,,4,0.319685252,3.848223475,0.099412664,0.820184016,0.006673493,0.813887822,0.003924432
,0.054627707,0.017781472,svd,1.390962135,kmeans,0.05520531,0.28932141,20,,4,0.284596208,4.080645304,0.092718952,0.814813337,0.005306939,0.817219818,0.005429616
,0.052637715,0.011540206,svd,1.218729048,kmeans,0.05332693,0.296857924,25,,4,0.288516534,3.00284689,0.090412372,0.807216317,0.01541401,0.815555519,0.00707151
,0.050282886,0.010418652,svd,1.078663595,kmeans,0.051069661,0.301952843,30,,4,0.271958308,3.755325256,0.087363435,0.822221569,0.00345667,0.814629077,0.001383287
,0.046850001,0.007455539,svd,0.901216906,kmeans,0.047830591,0.306894971,40,,4,0.244419608,5.548733764,0.08276239,0.814074961,0.004982246,0.822592557,0.003405488
,0.045061477,0.007476929,svd,0.78362341,kmeans,0.046219581,0.316851158,50,,4,0.244483915,4.757616673,0.080671485,0.809255001,0.009942034,0.816853357,0.003382542
,0.040596055,0.003490631,svd,0.501664186,kmeans,0.042617744,0.343478308,100,,4,0.204399653,4.8648119,0.075827092,0.792972692,0.026975527,0.81759204,0.004238503
,0.131592165,0.191437189,svd,10.29704436,kmeans,0.131710977,0.161695744,2,,5,0.261829046,2.985267587,0.14517121,0.821668379,0.004668771,0.821481959,0.001784828
,0.084092376,0.079560296,svd,5.795255538,kmeans,0.084316595,0.231571713,5,,5,0.289913165,4.240371771,0.123621786,0.815740909,0.000453192,0.81870521,0.003384191
,0.063103412,0.026730359,svd,3.569971989,kmeans,0.063461822,0.251151165,10,,5,0.328671158,2.872916364,0.101321377,0.817407164,0.002162382,0.817222082,0.001988258
,0.055461207,0.023371602,svd,2.695037203,kmeans,0.055932902,0.263985976,15,,5,0.294338715,3.823535801,0.092307786,0.817038439,0.003734088,0.815740291,0.00354644
,0.054073429,0.016192741,svd,2.184759441,kmeans,0.054665745,0.279695373,20,,5,0.27809899,3.879836294,0.091456542,0.815741012,0.00180425,0.821480415,0.004355691
,0.05141707,0.015950454,svd,1.885686389,kmeans,0.052111973,0.288238209,25,,5,0.284577,4.039262518,0.088265925,0.814257471,0.00624672,0.820370127,0.005265432
,0.048347812,0.010895991,svd,1.657814466,kmeans,0.049136792,0.290300807,30,,5,0.26417349,3.779335289,0.084047556,0.810366318,0.011986018,0.818704695,0.002201609
,0.045463392,0.008649011,svd,1.420047405,kmeans,0.046437245,0.30076841,40,,5,0.22234115,4.503249903,0.080452931,0.799617241,0.028981584,0.816852123,0.001094397
,0.043031825,0.008304194,svd,1.257776262,kmeans,0.044198442,0.301384638,50,,5,0.232351514,5.292688206,0.07709134,0.817961691,0.0028166,0.819073934,0.000335408
,0.039541356,0.003233958,svd,0.827738758,kmeans,0.041600858,0.331062911,100,,5,0.198899468,5.306150698,0.073913819,0.81444204,0.005651712,0.820186485,0.005404354
,0.134138195,0.197440537,svd,17.7449308,kmeans,0.134256948,0.164420068,2,,10,0.191111142,3.685594585,0.147815435,0.82925768,0.004778955,0.827776507,0.00617296
,0.073718526,0.06433311,svd,12.98167684,kmeans,0.073953818,0.195762025,5,,10,0.2036686,4.62849564,0.107352605,0.826664573,0.007181582,0.828145951,0.008040095
,0.066408621,0.032001343,svd,9.564833558,kmeans,0.066768633,0.262181701,10,,10,0.217611061,4.132080113,0.106432564,0.828517454,0.002360573,0.831665809,0.002047998
,0.054658482,0.021466833,svd,7.822904693,kmeans,0.055129234,0.260926574,15,,10,0.198546812,3.735253557,0.091026217,0.827962413,0.003986909,0.8253691,0.002849755
,0.05338221,0.019273687,svd,6.919256465,kmeans,0.053965387,0.280462329,20,,10,0.223301247,3.978940956,0.090514377,0.826108606,0.007262934,0.825740499,0.003446342
,0.050949817,0.014220058,svd,6.252114375,kmeans,0.051629619,0.291721573,25,,10,0.214485749,5.055439973,0.087732177,0.830369512,0.006314629,0.827220231,0.006160256
,0.049863674,0.012294323,svd,5.761895182,kmeans,0.050652464,0.298855068,30,,10,0.207290921,3.902071685,0.086623287,0.82777661,0.003767094,0.823885148,0.010865194
,0.046967985,0.008662655,svd,5.118716921,kmeans,0.047944559,0.308723228,40,,10,0.184291851,4.271632499,0.082999359,0.82147774,0.009771689,0.829627022,0.007867396
,0.044227561,0.007033654,svd,4.56789941,kmeans,0.045388465,0.310481427,50,,10,0.16472826,5.084001078,0.079199032,0.821661382,0.0138382,0.823516939,0.004605354
,0.0393146,0.00431323,svd,3.235587565,kmeans,0.041352658,0.332022332,100,,10,0.190448682,6.185038062,0.073545397,0.824442968,0.003254899,0.827960869,0.005735991
,0.131726379,0.195535418,svd,29.34240006,kmeans,0.13184555,0.161348294,2,,20,0.122997523,4.754479397,0.14511256,0.823885766,0.007060105,0.821472493,0.020399792
,0.085563668,0.076452883,svd,24.5130743,kmeans,0.085787565,0.235570758,5,,20,0.121299651,7.195328771,0.125772636,0.830737311,0.008237641,0.830184842,0.000768596
,0.064947625,0.039746926,svd,20.32756065,kmeans,0.065306434,0.257683864,10,,20,0.129064026,4.966197283,0.104203838,0.83425727,0.00438651,0.830737414,0.007449675
,0.049760265,0.023675113,svd,17.65084176,kmeans,0.050241803,0.2337782,15,,20,0.130096866,4.801526942,0.082708528,0.828703257,0.001115831,0.827220129,0.004680378
,0.045961428,0.026437138,svd,15.8497039,kmeans,0.046554682,0.240105575,20,,20,0.132570685,6.725993108,0.07798806,0.82851663,0.007759494,0.831849759,0.004730489
,0.044966921,0.016278757,svd,14.58250469,kmeans,0.045649004,0.258708745,25,,20,0.161357559,5.166259915,0.077604704,0.830925377,0.001376041,0.833329698,0.008252191
,0.043005212,0.012773534,svd,13.55094739,kmeans,0.043789522,0.261744925,30,,20,0.149945197,5.704563424,0.075027122,0.833147188,0.002559733,0.83277548,0.005302715
,0.040247061,0.009610675,svd,12.41939602,kmeans,0.04121646,0.269146541,40,,20,0.16850907,5.018807964,0.071485761,0.825184017,0.005257964,0.83111015,0.002889405
,0.041270797,0.007468873,svd,11.53934418,kmeans,0.042432017,0.291822242,50,,20,0.148209289,5.157210997,0.074090941,0.832961488,0.003261734,0.834069924,0.009330497
,0.03809054,0.004103576,svd,9.034902138,kmeans,0.040112763,0.324805451,100,,20,0.142960757,10.70540578,0.071406927,0.828146673,0.004175071,0.831479183,0.005233451
,0.131319513,0.197064616,svd,39.1872221,kmeans,0.131438946,0.160574177,2,,30,0.090065371,10.44248144,0.144553096,0.832218278,0.009247115,0.835923629,0.005231499
,0.068798502,0.040078093,svd,34.57288362,kmeans,0.069052753,0.170127404,5,,30,0.104701755,5.93771235,0.098233614,0.836846571,0.011730737,0.835368689,0.008451873
,0.059862854,0.002872882,svd,29.7897982,kmeans,0.060252248,0.220367023,10,,30,0.113053814,7.297539505,0.094630768,0.834812106,0.006245777,0.833701406,0.005232475
,0.04858793,0.027896934,svd,26.33264042,kmeans,0.049070817,0.227956999,15,,30,0.131152824,6.273042981,0.080757495,0.836851509,0.003105272,0.830738546,0.00631469
,0.048095222,0.015718712,svd,23.27845493,kmeans,0.048695546,0.247720699,20,,30,0.159367269,6.936257962,0.08139159,0.835739884,0.001907182,0.83573762,0.008975681
,0.039105741,0.011961286,svd,21.44221761,kmeans,0.039784383,0.227944709,25,,30,0.13758454,5.682950817,0.067744896,0.840366634,0.008254349,0.839072703,0.003091993
,0.038831653,0.011178411,svd,19.3730738,kmeans,0.03961545,0.237954547,30,,30,0.157039406,4.697869506,0.067922877,0.831477434,0.009263769,0.836108402,0.006749564
,0.036444269,0.007648437,svd,17.44966758,kmeans,0.037425881,0.242654083,40,,30,0.14207759,5.66837482,0.064849644,0.838146057,0.004726393,0.837218897,0.007331588
,0.035303669,0.006025068,svd,16.29344487,kmeans,0.0364589,0.252896825,50,,30,0.142977773,8.153111107,0.063730138,0.837405728,0.003848614,0.835923937,0.004385754
,0.036338279,0.00431488,svd,13.01699783,kmeans,0.038339677,0.313085653,100,,30,0.138506944,6.468285831,0.068313817,0.834811283,0.007804222,0.835924657,0.003088276
64365.66649,0.030498173,-0.049381706,rp,,em,0.030652168,0.032416933,2,-5.951608226,2,0.394929106,6.203519733,0.03150986,0.756295423,0.002327446,0.812947696,0.037604645
64473.68501,0.022275823,0.009467293,rp,,em,0.022516309,0.061538837,5,-5.947465758,2,0.269454105,10.75406513,0.032969485,0.759628654,0.002154176,0.834811386,0.007749846
64429.27303,0.016269912,0.003862335,rp,,em,0.016657869,0.063962239,10,-5.919404809,2,0.307374281,10.22955992,0.026431981,0.758517955,0.004244765,0.836848835,0.006652546
64555.50089,0.014673935,0.002770159,rp,,em,0.015177781,0.069990302,15,-5.907301207,2,0.30333627,8.498818016,0.024945905,0.756666102,0.002324527,0.835553052,0.005574059
64713.09687,0.013392443,0.002801591,rp,,em,0.014004199,0.072339223,20,-5.898038436,2,0.324422464,6.286463325,0.023465664,0.75870314,0.003995075,0.836478876,0.005745867
64913.88196,0.013240239,0.003016536,rp,,em,0.013959598,0.07755371,25,-5.892642197,2,0.303412844,10.36165256,0.023660354,0.75351569,0.006270229,0.833329698,0.008252191
65146.60245,0.013168613,0.00215423,rp,,em,0.014007398,0.080912366,30,-5.890374715,2,0.227813923,9.226167009,0.023880627,0.757036679,0.005426176,0.834626818,0.006200039
65575.53565,0.012502469,0.002013867,rp,,em,0.013531941,0.0858557,40,-5.882362002,2,0.273393003,7.72426979,0.023379049,0.754072172,0.004392903,0.83370048,0.007308485
66031.20702,0.011953931,0.001383693,rp,,em,0.013176784,0.088671596,50,-5.87670022,2,0.281028128,9.031945287,0.022944037,0.751290072,0.014349235,0.836293176,0.006958376
68208.70346,0.010993263,0.000782981,rp,,em,0.013144215,0.104060226,100,-5.839726392,2,0.256201797,7.872328185,0.023340241,0.753328652,0.01188543,0.83425583,0.007615687
85769.07257,0.002693816,0.023827027,rp,,em,0.002849867,0.00305951,2,-7.927120459,3,0.209853861,8.214071407,0.00295097,0.766481434,0.00105284,0.83518227,0.006510792
85579.74605,0.002679409,0.007443403,rp,,em,0.002924408,0.008003106,5,-7.885681635,3,0.207296636,13.41621899,0.004283562,0.761478757,0.00703795,0.832773731,0.00892963
85612.51368,0.008432137,0.001906595,rp,,em,0.008808964,0.03509974,10,-7.848998996,3,0.21435511,7.917817427,0.014083419,0.76277814,0.001762641,0.833886077,0.006310848
85865.26543,0.006939309,0.001572755,rp,,em,0.007435143,0.035100715,15,-7.832743696,3,0.222046491,8.303360025,0.012271003,0.761481535,0.002490718,0.834811488,0.007627416
85932.24807,0.007882151,0.002254291,rp,,em,0.008496191,0.044011655,20,-7.799090299,3,0.183055362,9.050143845,0.014242878,0.761666412,0.001669071,0.833330007,0.007500798
86206.52488,0.006485364,0.001663718,rp,,em,0.007193836,0.040827958,25,-7.784781033,3,0.199444692,9.72438014,0.012232347,0.763890281,0.0049861,0.834811591,0.007307994
