n,kurtosis
2,0.8005526371144078
3,2.7232668463545355
4,2.7706228219320383
5,2.98347855428584
10,4.267045965445779
15,5.80799184999532
20,7.946237417896732
25,10.593954167707457
30,13.74508510301524
40,18.574732760170857
50,32.290943913355854
